geoid,period,confirmed_cases_total,death_total,cases,death,pop,confirmed_rate_total,death_rate_tatal,confirmed_rate,death_rate
12109,2020-03-16,8,0,2,0,292860,0.27,0.00,0.07,0.00
12101,2020-03-16,9,0,2,0,15260,5.90,0.00,1.31,0.00
37133,2020-03-16,5,0,1,0,16380,3.05,0.00,0.61,0.00
36093,2020-03-16,8,0,4,0,123200,0.65,0.00,0.32,0.00
18011,2020-03-16,7,0,1,0,77805,0.90,0.00,0.13,0.00
31055,2020-03-16,179,0,16,0,24269,73.76,0.00,6.59,0.00
49051,2020-03-16,1,0,1,0,44548,0.22,0.00,0.22,0.00
41003,2020-03-16,1,0,1,0,31125,0.32,0.00,0.32,0.00
42095,2020-03-16,5,0,1,0,1545,32.36,0.00,6.47,0.00
12103,2020-03-16,16,0,4,0,49343,3.24,0.00,0.81,0.00
31025,2020-03-16,5,0,1,0,10015,4.99,0.00,1.00,0.00
48321,2020-03-16,2,1,2,1,536,37.31,18.65671641791045,37.31,18.65671641791045
13049,2020-03-16,7,0,1,0,28707,2.44,0.00,0.35,0.00
13139,2020-03-16,1,0,1,0,21895,0.46,0.00,0.46,0.00
13117,2020-03-16,1,0,1,0,17398,0.57,0.00,0.57,0.00
20059,2020-03-16,3,0,1,0,100452,0.30,0.00,0.10,0.00
53067,2020-03-16,16,0,4,0,118758,1.35,0.00,0.34,0.00
4013,2020-03-16,27,0,6,0,11186,24.14,0.00,5.36,0.00
36119,2020-03-16,1123,0,122,0,65695,170.94,0.00,18.57,0.00
20015,2020-03-16,4,0,1,0,3624,11.04,0.00,2.76,0.00
53033,2020-03-16,2325,229,372,23,39690,585.79,57.69715293524817,93.73,5.794910556815319
8117,2020-03-16,9,0,3,0,4176,21.55,0.00,7.18,0.00
51660,2020-03-16,4,0,1,0,41856,0.96,0.00,0.24,0.00
36007,2020-03-16,3,0,1,0,6183,4.85,0.00,1.62,0.00
53035,2020-03-16,24,0,6,0,6853,35.02,0.00,8.76,0.00
36003,2020-03-16,2,0,2,0,8311,2.41,0.00,2.41,0.00
37191,2020-03-16,4,0,1,0,36908,1.08,0.00,0.27,0.00
36107,2020-03-16,3,0,1,0,23286,1.29,0.00,0.43,0.00
36001,2020-03-16,32,0,12,0,70265,4.55,0.00,1.71,0.00
53037,2020-03-16,19,0,2,0,50099,3.79,0.00,0.40,0.00
18063,2020-03-16,15,0,1,0,177975,0.84,0.00,0.06,0.00
35053,2020-03-16,12,0,2,0,89910,1.33,0.00,0.22,0.00
53039,2020-03-16,3,0,1,0,258,116.28,0.00,38.76,0.00
35049,2020-03-16,15,0,3,0,19452,7.71,0.00,1.54,0.00
18043,2020-03-16,1,0,1,0,8359,1.20,0.00,1.20,0.00
53041,2020-03-16,2,0,1,0,250,80.00,0.00,40.00,0.00
51107,2020-03-16,24,0,5,0,76013,3.16,0.00,0.66,0.00
36103,2020-03-16,208,2,62,2,227990,9.12,0.09,2.72,0.09
35043,2020-03-16,6,0,2,0,26853,2.23,0.00,0.74,0.00
13063,2020-03-16,7,0,5,0,27136,2.58,0.00,1.84,0.00
53011,2020-03-16,16,0,3,0,342776,0.47,0.00,0.09,0.00
42017,2020-03-16,22,0,7,0,5544,39.68,0.00,12.63,0.00
53031,2020-03-16,11,0,2,0,37898,2.90,0.00,0.53,0.00
41067,2020-03-16,76,0,6,0,5495,138.31,0.00,10.92,0.00
36055,2020-03-16,17,0,10,0,111468,1.53,0.00,0.90,0.00
19085,2020-03-16,4,0,1,0,1552,25.77,0.00,6.44,0.00
41071,2020-03-16,2,0,1,0,0,inf,,inf,
13057,2020-03-16,19,0,3,0,55468,3.43,0.00,0.54,0.00
36109,2020-03-16,3,0,1,0,10917,2.75,0.00,0.92,0.00
13121,2020-03-16,84,0,22,0,1141,736.20,0.00,192.81,0.00
36043,2020-03-16,5,0,1,0,90925,0.55,0.00,0.11,0.00
42003,2020-03-16,9,0,5,0,17361,5.18,0.00,2.88,0.00
8107,2020-03-16,5,0,2,0,5472,9.14,0.00,3.65,0.00
36111,2020-03-16,29,0,6,0,293139,0.99,0.00,0.20,0.00
36039,2020-03-16,4,0,2,0,60264,0.66,0.00,0.33,0.00
53025,2020-03-16,9,0,6,0,31568,2.85,0.00,1.90,0.00
53027,2020-03-16,5,0,1,0,6100,8.20,0.00,1.64,0.00
4019,2020-03-16,13,0,3,0,351218,0.37,0.00,0.09,0.00
8097,2020-03-16,62,0,11,0,7764,79.86,0.00,14.17,0.00
36029,2020-03-16,9,0,6,0,10472,8.59,0.00,5.73,0.00
53029,2020-03-16,26,0,7,0,4512,57.62,0.00,15.51,0.00
36027,2020-03-16,25,0,10,0,28640,8.73,0.00,3.49,0.00
41047,2020-03-16,14,0,2,0,41419,3.38,0.00,0.48,0.00
13059,2020-03-16,5,0,3,0,22994,2.17,0.00,1.30,0.00
36025,2020-03-16,5,0,1,0,119270,0.42,0.00,0.08,0.00
36059,2020-03-16,425,0,92,0,201740,21.07,0.00,4.56,0.00
13067,2020-03-16,87,5,18,1,364231,2.39,0.1372755202055838,0.49,0.027455104041116764
41029,2020-03-16,14,0,0,0,312004,0.45,0.00,0.00,0.00
53043,2020-03-16,2,0,1,0,10314,1.94,0.00,0.97,0.00
19049,2020-03-16,3,0,1,0,6300,4.76,0.00,1.59,0.00
34027,2020-03-16,23,0,8,0,82745,2.78,0.00,0.97,0.00
19153,2020-03-16,2,0,1,0,1928,10.37,0.00,5.19,0.00
13285,2020-03-16,1,0,1,0,3058,3.27,0.00,3.27,0.00
34025,2020-03-16,51,3,12,1,32375,15.75,0.9266409266409266,3.71,0.3088803088803089
51810,2020-03-16,19,0,3,0,1736,109.45,0.00,17.28,0.00
13015,2020-03-16,38,0,9,0,157950,2.41,0.00,0.57,0.00
34023,2020-03-16,40,0,15,0,83658,4.78,0.00,1.79,0.00
37037,2020-03-16,7,0,0,0,158739,0.44,0.00,0.00,0.00
18067,2020-03-16,7,0,2,0,154920,0.45,0.00,0.13,0.00
49043,2020-03-16,21,0,11,0,25032,8.39,0.00,4.39,0.00
48423,2020-03-16,14,0,4,0,376,372.34,0.00,106.38,0.00
37049,2020-03-16,3,0,1,0,18204,1.65,0.00,0.55,0.00
37189,2020-03-16,2,0,1,0,93414,0.21,0.00,0.11,0.00
34019,2020-03-16,1,0,1,0,189,52.91,0.00,52.91,0.00
53063,2020-03-16,37,0,3,0,18648,19.84,0.00,1.61,0.00
34017,2020-03-16,40,0,18,0,12761,31.35,0.00,14.11,0.00
49045,2020-03-16,1,0,1,0,25,400.00,0.00,400.00,0.00
42041,2020-03-16,16,0,5,0,11852,13.50,0.00,4.22,0.00
50003,2020-03-16,10,0,2,0,8071,12.39,0.00,2.48,0.00
18091,2020-03-16,3,0,1,0,134721,0.22,0.00,0.07,0.00
34013,2020-03-16,45,0,20,0,49675,9.06,0.00,4.03,0.00
36057,2020-03-16,2,0,1,0,74936,0.27,0.00,0.13,0.00
34021,2020-03-16,8,0,6,0,7071,11.31,0.00,8.49,0.00
34029,2020-03-16,7,0,3,0,45084,1.55,0.00,0.67,0.00
53061,2020-03-16,897,16,154,3,32977,272.01,4.851866452375899,46.70,0.91
41051,2020-03-16,8,3,2,1,557179,0.14,0.05,0.04,0.017947553658698552
13129,2020-03-16,8,0,2,0,3412,23.45,0.00,5.86,0.00
53007,2020-03-16,7,7,0,0,2352,29.76,29.76190476190476,0.00,0.00
37019,2020-03-16,3,0,1,0,84495,0.36,0.00,0.12,0.00
53053,2020-03-16,166,0,37,0,46228,35.91,0.00,8.00,0.00
35001,2020-03-16,38,0,14,0,5334,71.24,0.00,26.25,0.00
49035,2020-03-16,61,0,19,0,183876,3.32,0.00,1.03,0.00
41043,2020-03-16,47,0,10,0,9420,49.89,0.00,10.62,0.00
37025,2020-03-16,5,0,1,0,478215,0.10,0.00,0.02,0.00
42029,2020-03-16,11,0,4,0,142972,0.77,0.00,0.28,0.00
48439,2020-03-16,18,0,5,0,10080,17.86,0.00,4.96,0.00
34039,2020-03-16,17,0,7,0,19460,8.74,0.00,3.60,0.00
49057,2020-03-16,7,0,1,0,44681,1.57,0.00,0.22,0.00
8077,2020-03-16,3,0,1,0,22170,1.35,0.00,0.45,0.00
53057,2020-03-16,21,0,7,0,134722,1.56,0.00,0.52,0.00
38101,2020-03-16,6,0,1,0,501690,0.12,0.00,0.02,0.00
34035,2020-03-16,4,0,4,0,64882,0.62,0.00,0.62,0.00
41035,2020-03-16,7,0,0,0,323505,0.22,0.00,0.00,0.00
19155,2020-03-16,7,0,0,0,847,82.64,0.00,0.00,0.00
36067,2020-03-16,1,0,1,0,7786,1.28,0.00,1.28,0.00
36069,2020-03-16,1,0,1,0,8586,1.16,0.00,1.16,0.00
34031,2020-03-16,20,0,7,0,2541,78.71,0.00,27.55,0.00
51510,2020-03-16,6,0,2,0,202860,0.30,0.00,0.10,0.00
13077,2020-03-16,6,0,2,0,153750,0.39,0.00,0.13,0.00
