tractid,period,pop19,nhwht19,nhblk19,hisp19,asian19,fb19,n10imm19,col19,unemp19,prof19,manuf19,npov19,vac19,own19,dmulti19,multi19,h30old19,h10yrs19,a18und19,a60up19
48455950100,2019,2426,2084,226,71,0,18,0,221,53,278,113,388,456,879,1461,34,850,288,530,750
48455950500,2019,2055,675,664,582,0,241,0,91,94,183,53,619,245,599,1183,48,863,424,430,388
48471790800,2019,7781,3727,2157,1248,529,1772,1259,1106,138,905,35,2562,169,354,3230,2589,1600,2571,862,859
48471790200,2019,7292,4613,1408,1185,12,356,12,782,100,693,134,1407,730,1476,3070,199,1645,1102,1634,1589
48471790400,2019,12013,6247,3104,2542,2,552,42,1651,91,934,165,695,389,1660,2670,164,1166,783,1276,2221
48471790700,2019,8188,3636,2764,1600,73,742,124,490,124,1108,132,3448,445,477,3305,1989,1649,2487,1308,357
48471790600,2019,4153,1023,1300,1793,24,810,186,225,70,222,64,559,302,313,1293,434,787,798,851,546
48471790500,2019,8656,5186,2202,1079,189,649,428,1355,71,1210,104,2050,266,767,3261,1709,1980,2311,857,973
48471790300,2019,7640,6214,577,406,28,93,0,2137,152,1312,102,244,570,2957,3951,230,2099,1404,1362,3143
48439111550,2019,13896,3090,6057,3131,1296,3088,557,2672,287,2732,624,1644,88,3320,3881,15,158,1574,4165,1076
48439111551,2019,7430,3447,2031,797,834,1383,448,2149,169,1785,335,86,156,1699,2343,291,93,968,2200,1164
48439113113,2019,3648,873,2077,398,160,395,133,1066,69,1270,226,237,639,0,2641,2600,418,1837,439,159
48439113114,2019,4689,1985,1552,579,507,980,140,1918,93,1719,420,173,314,559,2517,1830,1178,1781,852,762
48439113115,2019,3384,871,860,1545,86,726,66,585,121,607,92,334,303,534,1836,1066,1272,1176,803,297
48439111552,2019,3539,2452,247,460,225,257,49,1025,81,559,77,216,191,1076,1524,136,1308,550,669,1038
48439111553,2019,4038,1888,760,947,177,578,182,863,60,796,279,561,231,444,2060,1434,1338,1417,917,727
48439113116,2019,4538,1114,1707,1212,268,940,443,810,354,732,259,562,323,180,2429,2191,1659,1765,1182,292
48439113220,2019,7594,2835,1220,1956,1409,1853,761,1059,263,1117,42,446,131,658,2975,2046,2206,2097,2346,1014
48439113221,2019,5832,4626,281,733,43,322,91,1696,207,1235,63,371,159,1161,2510,1029,676,1658,1180,1410
48201453300,2019,3676,188,1606,1615,225,1836,946,288,282,215,16,1814,199,40,1447,1418,932,1139,1268,289
48201453800,2019,4293,146,1163,2530,446,2208,495,469,117,314,193,833,49,655,1145,283,1001,416,1152,613
48201454400,2019,1186,196,623,162,194,441,277,416,0,317,33,59,232,0,693,674,131,461,450,38
48201454700,2019,6949,4961,57,1248,259,1070,445,2885,156,1988,322,572,158,1983,2499,293,2316,960,1666,1907
48201510200,2019,6627,2761,358,2329,1008,1555,729,3812,109,3398,343,751,467,862,3873,2637,724,2908,671,729
48201511200,2019,5998,3791,205,1525,370,1203,281,3463,170,3125,353,200,187,2108,2921,300,753,1726,907,687
48453001774,2019,8365,4515,507,2625,524,740,53,3287,35,2677,431,691,192,2459,3047,0,623,1333,2089,1595
48453001775,2019,8291,5550,481,1267,760,1216,448,3807,146,2894,372,525,151,2568,2759,0,607,1434,2275,1631
48453001776,2019,3136,1846,209,903,118,209,0,1420,23,1022,129,262,21,904,1209,95,1061,466,499,547
48453001777,2019,5822,3388,310,1447,379,778,118,2511,174,2453,175,378,77,1588,2451,587,1311,1501,1193,836
48453001778,2019,4339,3673,181,378,59,308,8,2079,120,1192,145,77,171,1342,1950,162,954,1022,872,1422
48453001779,2019,6546,5024,174,1193,53,632,35,1632,185,1316,223,283,569,2038,3107,537,1138,1130,1340,1876
48453001780,2019,4617,3729,60,621,20,299,15,1356,134,1067,240,460,597,1657,2485,151,851,937,830,1351
48167720501,2019,4611,3198,222,859,178,340,43,1399,66,1129,277,531,83,1255,1514,14,719,538,1295,823
48167720502,2019,11370,7748,434,2347,510,775,0,2537,177,2570,626,795,157,3151,3786,322,1587,1713,3272,2065
48167720503,2019,16616,10636,1693,2690,1025,2241,398,5631,332,5479,1199,291,184,4828,5439,0,1068,2322,5216,2059
48167721201,2019,22489,14688,2663,4219,424,1348,379,6666,504,6266,1093,1823,295,5192,8210,2324,1761,5142,7056,3380
48167721202,2019,7818,4914,684,1530,593,1005,119,2163,292,2121,602,429,91,2205,2551,0,582,1942,2611,778
48201533100,2019,6879,353,3832,2415,213,836,111,650,257,599,334,1708,203,1570,2454,601,1961,665,2220,1078
48201533400,2019,11864,158,3940,7362,371,3363,354,469,673,647,462,1803,163,2475,3370,59,1943,1430,3956,1538
48201210800,2019,2466,132,792,1542,0,576,88,43,113,145,132,999,254,337,1101,356,980,382,635,350
48201220900,2019,1755,179,306,1252,0,434,83,77,53,105,85,499,102,224,594,155,487,231,528,181
48201221200,2019,6473,282,248,5943,0,2113,20,105,43,376,103,2123,96,990,1770,8,1666,644,2164,669
48201222000,2019,2327,185,177,1950,0,656,60,31,47,76,66,661,58,392,618,0,565,141,642,196
48201222100,2019,5527,306,5,5216,0,2291,179,73,144,227,315,2085,145,936,1552,162,1434,567,1767,799
48201230400,2019,3319,106,1525,1590,98,744,213,158,104,107,87,1213,317,416,1418,280,1306,597,728,630
48201231300,2019,4496,23,2928,1545,0,640,0,377,198,237,84,1350,207,919,1702,318,1065,646,1055,998
48201231600,2019,3350,31,2230,1089,0,476,26,227,110,241,26,509,105,842,1126,19,1106,270,817,956
48201232900,2019,7278,488,3215,3129,420,1399,337,670,323,1079,441,806,272,1001,3209,1938,2268,1800,1846,985
48201233400,2019,2554,260,269,2019,0,746,80,95,72,165,128,646,104,366,1062,420,810,551,623,483
48201240100,2019,3959,442,823,2357,186,1548,581,181,196,217,126,1075,344,78,1827,1614,1609,1227,1370,349
48201250100,2019,9412,1569,2977,4477,347,1619,67,945,405,1200,647,353,294,2358,2985,85,879,1083,2208,1468
48201250200,2019,11011,1368,4275,5119,169,2064,330,693,189,899,673,2035,61,1889,3130,748,856,2037,4140,966
48201250900,2019,9617,7953,160,1031,248,715,116,4464,173,2436,457,100,417,2648,3804,1031,979,1848,2270,2356
48187210606,2019,2728,1916,2,805,0,218,1,450,36,394,97,255,504,887,1656,67,995,537,576,811
48187210400,2019,4664,2562,264,1745,77,201,7,525,68,465,278,755,108,925,1766,558,1421,811,1126,1408
48077030301,2019,4511,3902,0,397,117,278,162,703,108,581,274,553,412,1509,2147,0,1397,698,932,1354
48201531600,2019,3246,1708,65,1424,28,731,38,1096,5,842,132,125,107,970,1310,172,1112,491,744,662
48201532600,2019,7408,300,2318,3974,790,2667,769,613,119,502,467,1751,172,1063,2387,738,1896,1010,2056,1222
48201532700,2019,5169,629,2103,2292,63,908,9,701,107,543,190,987,245,1108,2026,602,1736,836,1386,922
48201533200,2019,3983,304,1651,1760,126,896,408,598,91,573,172,1031,245,545,1696,697,1134,918,939,678
48439121903,2019,6520,425,1734,4041,177,1816,435,394,81,359,393,2303,264,337,2124,1695,1686,1569,2852,355
48439121904,2019,4924,615,815,3401,0,2028,479,192,243,136,287,1410,230,469,1647,980,1335,998,1624,387
48439121905,2019,4893,593,1457,1881,706,2477,971,473,62,324,375,2164,505,59,2597,2481,2034,1717,1329,445
48439121906,2019,4718,544,732,3260,67,1586,392,264,114,220,249,1309,130,277,1448,1033,1251,980,1862,324
48439122001,2019,4330,870,115,3307,8,1828,212,151,108,176,179,812,70,884,1202,129,1168,504,1368,692
48439122002,2019,4796,625,913,3221,16,1489,364,186,170,204,355,1151,137,623,1585,656,1506,925,1549,502
48439122801,2019,3993,582,528,2708,175,1728,977,392,140,383,167,982,252,179,1565,1248,1413,1084,1386,215
48439122802,2019,5345,1555,744,2811,205,1766,502,464,146,464,275,2002,171,597,1714,720,1614,1083,1712,586
48113013606,2019,5747,2914,652,1685,259,1537,379,1960,99,1416,143,721,199,1306,2669,1304,2626,1278,975,939
48113013608,2019,2410,2052,46,159,131,260,0,1308,13,764,62,81,121,911,1046,25,938,391,528,910
48201510900,2019,7568,4436,525,1692,749,1516,296,4497,135,3897,630,308,363,2298,3956,1058,809,2930,1083,490
48201521300,2019,5461,1146,342,3393,462,2263,516,686,122,714,394,1484,132,1182,2058,697,1774,919,1562,835
48201532100,2019,7369,841,1815,4373,328,2611,711,735,272,850,617,2284,140,703,2847,1938,2288,1852,1979,1184
48201532800,2019,1893,397,330,1081,72,609,168,200,61,270,93,376,91,419,747,212,686,390,478,270
48201532900,2019,5662,142,2073,3145,247,1489,309,220,341,326,202,1081,161,1012,1946,673,1561,904,1390,1045
48201533500,2019,4245,474,437,2963,371,1711,107,299,138,274,157,305,61,1080,1294,17,1253,246,906,851
48201541500,2019,5493,1430,402,2505,830,1455,131,774,192,921,332,789,143,1431,1772,25,825,530,1680,760
48201542200,2019,24521,3605,5939,13155,1269,7519,1141,3166,844,3412,1385,1582,468,5081,7147,26,750,3722,8124,1854
48201542600,2019,5841,2645,630,2056,258,1107,179,1152,78,1456,311,160,28,1346,1790,11,464,855,1706,720
48201542700,2019,5299,3238,256,1471,225,1163,222,807,156,818,177,297,198,1362,2053,22,1548,692,1070,1201
48201550500,2019,6803,126,2150,3636,700,1898,176,635,176,539,403,826,144,874,2068,645,940,970,2151,550
48201553300,2019,6149,598,3539,1859,19,1014,275,670,220,493,53,1523,306,11,2882,2734,1268,2472,2021,378
48201553900,2019,8107,5214,532,1086,1076,1213,161,2814,280,2121,469,447,111,2486,2685,0,1534,945,1895,2063
48201554200,2019,9537,4705,1354,2881,554,2332,690,2822,153,2799,691,565,162,1661,4003,1830,947,2834,2158,1580
48201554600,2019,4504,3664,135,535,95,253,84,1843,133,1277,275,79,54,1486,1657,64,695,594,1088,1112
48201210100,2019,7363,1282,4043,1962,8,578,195,154,0,55,10,0,13,4,59,37,37,37,0,270
48201211300,2019,5319,106,3106,2040,0,849,166,325,319,272,113,1723,327,656,2432,665,1944,1266,1362,893
48201220600,2019,4083,119,671,3293,0,1338,118,120,102,178,128,1447,107,544,1175,289,959,455,1676,369
48201220800,2019,4089,73,1835,2181,0,736,90,87,51,67,128,2257,178,325,1256,592,1119,709,1463,601
48201222200,2019,3609,307,213,2956,9,1363,283,92,51,144,80,1059,145,515,1152,437,947,453,859,479
48201231700,2019,3640,115,217,3293,15,1418,162,68,74,77,226,1441,142,729,1214,54,871,375,1231,392
48201232000,2019,4420,33,1778,2609,0,1172,106,188,207,231,86,895,92,1000,1418,63,1177,472,1256,776
48201232100,2019,3590,230,758,2602,0,1213,284,105,31,241,192,1105,174,494,1150,431,1043,545,1222,329
48201531900,2019,4974,355,2852,1582,36,922,187,485,153,442,75,1036,150,1129,1661,218,1147,529,1365,1048
48201532200,2019,3883,438,690,2693,25,1566,493,329,123,272,177,1704,157,294,1528,1223,1491,1036,1215,337
48201532300,2019,6993,1265,1988,3472,194,1879,796,1052,175,1183,547,941,46,671,3119,2301,1668,2367,1839,616
48201532400,2019,6348,1168,756,4194,177,1730,352,1053,98,1070,425,667,164,1324,2192,450,1317,987,1749,951
48113016610,2019,4507,307,3477,561,39,364,33,712,14,736,154,711,115,824,2093,1016,1569,1171,1069,1059
48113016703,2019,11308,636,7544,2693,35,891,70,1299,426,1578,371,1994,161,2010,3630,820,1242,1991,3609,1201
48113017400,2019,5772,2174,1359,2039,57,793,10,405,121,561,152,1335,55,1093,1769,9,1636,794,1736,1005
48113017804,2019,7590,1640,2222,3473,0,1193,103,505,318,853,304,1168,285,973,2700,1567,1815,1591,2087,912
48113017813,2019,6745,1085,1847,2993,619,1504,469,855,147,868,141,651,328,520,2786,1944,2269,1858,1946,759
48113018401,2019,4569,1250,245,2967,32,1359,263,346,62,450,161,968,156,914,1564,508,1542,671,1456,619
48113019016,2019,3215,1005,904,695,565,1418,665,823,43,468,94,649,103,387,1343,924,1267,909,776,456
48113019031,2019,6012,3259,554,1253,712,948,116,2169,173,1844,450,207,95,1929,2398,162,1914,820,1176,1502
48113019032,2019,4287,617,222,2685,566,1912,536,250,28,389,283,582,72,719,1144,236,1040,501,1314,524
48113019037,2019,3543,1894,346,630,460,835,151,1110,71,979,126,112,36,1142,1296,62,1131,502,671,896
48113019210,2019,4365,3738,113,248,181,314,67,2271,53,1393,121,195,154,1446,1727,120,1422,549,1130,1102
48113013717,2019,3302,447,23,2461,299,1260,262,175,87,170,169,705,14,279,959,523,843,506,1191,330
48113014121,2019,4995,2353,456,852,1127,1187,480,2485,76,1942,149,178,166,641,2851,2035,676,2097,849,832
48113012210,2019,4595,871,2250,1358,69,712,257,548,172,528,182,1250,332,351,2433,1957,2277,1664,1221,683
48113011001,2019,8041,478,5197,2364,0,1109,79,820,94,722,199,1804,115,1678,2977,823,2844,1174,2031,2508
48113012206,2019,5646,641,2595,2256,30,825,84,1019,66,914,210,831,181,1361,2004,340,1795,806,1495,1059
48355002705,2019,5637,2245,127,3001,159,329,45,1336,49,1080,136,694,206,1344,2233,498,1927,975,1516,1291
